id,名字,境界,神识,对主角好感度,背包物品,介绍,死亡后立即重生,重生延迟,气血,攻击,防御,灵力,移动速度,暴击,暴击抗性,暴击伤害,会心,会心抗性,会心伤害,真实,真实抗性,真实伤害,闪避,忽视闪避,冷却缩减,攻速,气血回复,灵力回复,治疗加成,普攻伤害加成,普攻伤害减免,主动法术伤害加成,主动法术伤害减免,被动法术伤害加成,被动法术伤害减免
npc_elder,长老,3,60,20,item_taixu_ling:1,太虚门执事长老，负责指点新入门弟子。,否,0,1800,120,90,600,1.2,0.12,0.05,1.5,0.1,0.05,1.3,0,0,0,0.08,0,0.08,1,4,4,0.05,0.05,0.05,0.08,0.08,0.05,0.05
monster_wooden_dummy,练功木桩,0,0,-1,,太虚门练功场里的木桩。不会移动也不会反击，专门用来试招和测伤害。打空后会自动恢复满血。,是,0,500,0,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
human_baiguniangniang,白骨娘娘,6,112,10,,白骨堆中修出的妖物，怨气极重。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
demon_bailujing_01,白鹿精·幼,2,25,-10,,白鹿成精，年幼胆怯。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
demon_bailujing_02,白鹿精,4,53,-15,,白鹿精，角能御敌。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_bailujing_03,白鹿精·王,6,112,-20,,白鹿一族的首领。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
demon_baixiongjing,白熊精,5,77,-25,,化了形的白熊，一掌可裂石。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_baiyanmojun,白焰魔君,8,234,-50,,执白焰的魔道君主，一方之患。,否,0,35186,1648,949,10464,1.5,0.4,0.16,1.5,0.32,0.16,1.3,0.16,0.08,0.24,0.24,0,0.24,1,351.86,209.28,0,0.16,0.16,0,0,0,0
demon_bingpoguai,冰魄怪,5,77,-25,,寒气凝成的怪物，靠近即冻。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
human_changdaonv,长刀女,4,53,10,,手持长刀的女修，来历不明。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_changdaozhonghun,长刀忠魂,4,53,-20,,执念不散的长刀亡魂。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
human_change,嫦娥,8,234,10,,月宫仙子，清冷出尘，不染凡尘烟火。,否,0,35186,412,474,10464,1,0.4,0.16,1.5,0.32,0.16,1.3,0.16,0.08,0.24,0.24,0,0.24,1,351.86,209.28,0,0.16,0.16,0,0,0,0
demon_changhuozhanglao,长火长老,6,112,-35,,修火法的魔道长老。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
demon_chimangjin_01,赤蟒精·幼,2,25,-20,,赤蟒幼体，尚不能化形。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
demon_chimangjin_02,赤蟒精,5,77,-30,,成年的赤蟒精，鳞甲如铁。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_chimangjin_03,赤蟒精·王,7,162,-40,,赤蟒一族的王者。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
npc_chuansongdian_01,传送点,0,12,0,,此地的传送法阵，可通往别处。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
demon_chuimo,锤魔,5,77,-30,,挥巨锤的魔物。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
human_daomo,刀魔,6,112,10,,入魔的刀客，只剩杀念。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
npc_dianyuguan,典狱官,4,53,-10,,看管牢狱的官吏，公事公办，不近人情。,否,0,3752,56,69,1253,1,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_dunjiazhonghun,盾甲忠魂,4,53,-20,,重甲裹身的亡魂，防御极高。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
