境界名,序号,等级,大境界,层数,升级所需灵气,累计灵气,单次修炼灵气,突破类型,突破材料,材料数量
炼气第1层,1,1,炼气,1,100,100,2,小境界突破,,
炼气第2层,2,2,炼气,2,120,220,2,小境界突破,,
炼气第3层,3,3,炼气,3,144,364,2,小境界突破,,
炼气第4层,4,4,炼气,4,173,537,2,小境界突破,,
炼气第5层,5,5,炼气,5,207,744,2,小境界突破,,
炼气第6层,6,6,炼气,6,249,993,2,小境界突破,,
炼气第7层,7,7,炼气,7,299,1292,2,小境界突破,,
炼气第8层,8,8,炼气,8,358,1650,2,小境界突破,,
炼气第9层,9,9,炼气,9,430,2080,2,小境界突破,,
炼气第10层,10,10,炼气,10,1290,3370,2,大境界突破,,
筑基第1层,11,11,筑基,1,550,3920,3,小境界突破,,
筑基第2层,12,12,筑基,2,660,4580,3,小境界突破,,
筑基第3层,13,13,筑基,3,792,5372,3,小境界突破,,
筑基第4层,14,14,筑基,4,950,6322,3,小境界突破,,
筑基第5层,15,15,筑基,5,1140,7462,3,小境界突破,,
筑基第6层,16,16,筑基,6,1369,8831,3,小境界突破,,
筑基第7层,17,17,筑基,7,1642,10473,3,小境界突破,,
筑基第8层,18,18,筑基,8,1971,12444,3,小境界突破,,
筑基第9层,19,19,筑基,9,2365,14809,3,小境界突破,,
筑基第10层,20,20,筑基,10,7095,21904,3,大境界突破,,
金丹第1层,21,21,金丹,1,3025,24929,5,小境界突破,,
金丹第2层,22,22,金丹,2,3630,28559,5,小境界突破,,
金丹第3层,23,23,金丹,3,4356,32915,5,小境界突破,,
金丹第4层,24,24,金丹,4,5227,38142,5,小境界突破,,
金丹第5层,25,25,金丹,5,6273,44415,5,小境界突破,,
金丹第6层,26,26,金丹,6,7527,51942,5,小境界突破,,
金丹第7层,27,27,金丹,7,9033,60975,5,小境界突破,,
金丹第8层,28,28,金丹,8,10839,71814,5,小境界突破,,
金丹第9层,29,29,金丹,9,13007,84821,5,小境界突破,,
金丹第10层,30,30,金丹,10,39021,123842,5,大境界突破,,
元婴第1层,31,31,元婴,1,16638,140480,7,小境界突破,,
元婴第2层,32,32,元婴,2,19965,160445,7,小境界突破,,
元婴第3层,33,33,元婴,3,23958,184403,7,小境界突破,,
元婴第4层,34,34,元婴,4,28750,213153,7,小境界突破,,
元婴第5层,35,35,元婴,5,34500,247653,7,小境界突破,,
元婴第6层,36,36,元婴,6,41399,289052,7,小境界突破,,
元婴第7层,37,37,元婴,7,49679,338731,7,小境界突破,,
元婴第8层,38,38,元婴,8,59615,398346,7,小境界突破,,
元婴第9层,39,39,元婴,9,71538,469884,7,小境界突破,,
元婴第10层,40,40,元婴,10,214615,684499,7,大境界突破,,
化神第1层,41,41,化神,1,91506,776005,11,小境界突破,,
化神第2层,42,42,化神,2,109808,885813,11,小境界突破,,
化神第3层,43,43,化神,3,131769,1017582,11,小境界突破,,
化神第4层,44,44,化神,4,158123,1175705,11,小境界突破,,
化神第5层,45,45,化神,5,189747,1365452,11,小境界突破,,
化神第6层,46,46,化神,6,227697,1593149,11,小境界突破,,
化神第7层,47,47,化神,7,273236,1866385,11,小境界突破,,
化神第8层,48,48,化神,8,327883,2194268,11,小境界突破,,
化神第9层,49,49,化神,9,393460,2587728,11,小境界突破,,
化神第10层,50,50,化神,10,1180380,3768108,11,大境界突破,,
炼虚第1层,51,51,炼虚,1,503284,4271392,16,小境界突破,,
炼虚第2层,52,52,炼虚,2,603941,4875333,16,小境界突破,,
炼虚第3层,53,53,炼虚,3,724730,5600063,16,小境界突破,,
炼虚第4层,54,54,炼虚,4,869675,6469738,16,小境界突破,,
炼虚第5层,55,55,炼虚,5,1043610,7513348,16,小境界突破,,
炼虚第6层,56,56,炼虚,6,1252333,8765681,16,小境界突破,,
炼虚第7层,57,57,炼虚,7,1502799,10268480,16,小境界突破,,
炼虚第8层,58,58,炼虚,8,1803359,12071839,16,小境界突破,,
炼虚第9层,59,59,炼虚,9,2164031,14235870,16,小境界突破,,
炼虚第10层,60,60,炼虚,10,6492092,20727962,16,大境界突破,,
合体第1层,61,61,合体,1,2768064,23496026,23,小境界突破,,
合体第2层,62,62,合体,2,3321677,26817703,23,小境界突破,,
合体第3层,63,63,合体,3,3986012,30803715,23,小境界突破,,
合体第4层,64,64,合体,4,4783215,35586930,23,小境界突破,,
合体第5层,65,65,合体,5,5739858,41326788,23,小境界突破,,
合体第6层,66,66,合体,6,6887829,48214617,23,小境界突破,,
合体第7层,67,67,合体,7,8265395,56480012,23,小境界突破,,
合体第8层,68,68,合体,8,9918474,66398486,23,小境界突破,,
合体第9层,69,69,合体,9,11902169,78300655,23,小境界突破,,
合体第10层,70,70,合体,10,35706506,114007161,23,大境界突破,,
大乘第1层,71,71,大乘,1,15224352,129231513,35,小境界突破,,
大乘第2层,72,72,大乘,2,18269223,147500736,35,小境界突破,,
大乘第3层,73,73,大乘,3,21923067,169423803,35,小境界突破,,
大乘第4层,74,74,大乘,4,26307681,195731484,35,小境界突破,,
大乘第5层,75,75,大乘,5,31569217,227300701,35,小境界突破,,
大乘第6层,76,76,大乘,6,37883060,265183761,35,小境界突破,,
大乘第7层,77,77,大乘,7,45459673,310643434,35,小境界突破,,
大乘第8层,78,78,大乘,8,54551607,365195041,35,小境界突破,,
大乘第9层,79,79,大乘,9,65461928,430656969,35,小境界突破,,
大乘第10层,80,80,大乘,10,196385785,627042754,35,大境界突破,,
登仙第1层,81,81,登仙,1,83733938,710776692,52,小境界突破,,
登仙第2层,82,82,登仙,2,100480725,811257417,52,小境界突破,,
登仙第3层,83,83,登仙,3,120576871,931834288,52,小境界突破,,
登仙第4层,84,84,登仙,4,144692245,1076526533,52,小境界突破,,
登仙第5层,85,85,登仙,5,173630694,1250157227,52,小境界突破,,
登仙第6层,86,86,登仙,6,208356832,1458514059,52,小境界突破,,
登仙第7层,87,87,登仙,7,250028199,1708542258,52,小境界突破,,
登仙第8层,88,88,登仙,8,300033839,2008576097,52,小境界突破,,
登仙第9层,89,89,登仙,9,360040606,2368616703,52,小境界突破,,
登仙十层,90,90,登仙,10,0,2368616703,52,满级,,
