id,npcId,分段,说话人,文本,立绘,玩家立绘,回答1,回答2,回答3,跳转1,跳转2,跳转3,需要标记,排除标记,优先,情绪,情绪强度,触发任务,完成任务
dlg_common_01,,1,,这位道友面生得很。是路过、还是要在村里住下？,立绘/村民,,路过看看,住几日,打听些事,2,3,4,,,0,,1,,
dlg_common_02,,2,,那便随意。村里人都好说话、有事尽管问。,立绘/村民,,多谢,告辞,,0,0,0,,,0,,1,,
dlg_common_03,,3,,住下的话、村西那间空屋还空着。夜里别往山上去。,立绘/村民,,记下了,山上有什么,,0,5,0,,,0,震动,0.8,,
dlg_common_04,,4,,打听事啊……那得看你想问什么了。,立绘/村民,,算了,回头再说,,0,0,0,,,0,,1,,
dlg_common_05,,5,,山里近来不太平、妖兽多了起来。你若是修士、倒不妨去看看。,立绘/村民,,我去看看,与我无关,,0,0,0,,,0,,1,,
dlg_common_06,,6,,听说山腰有个洞、夜里会发光。老辈人说是仙家遗迹。,立绘/村民,,有意思,离远点好,,0,0,0,,,0,冒泡,1,,
dlg_chengnan_01,npc_cunmin_chengnan,1,,哟、这位道友看着面生。是刚从外头进山的吧？,立绘/成男村民,,嗯、刚到此地,这村子不错,随便看看,2,3,0,,,10,,1,,
dlg_chengnan_02,npc_cunmin_chengnan,2,,那可是赶巧了。今儿日头好、晒得人暖洋洋的。,立绘/成男村民,,确实不错,你先忙,,0,0,0,,,0,,1,,
dlg_chengnan_03,npc_cunmin_chengnan,3,,村里就图个安稳。种地、打猎、采药、日子也就这么过。,立绘/成男村民,,听着挺好,告辞,,0,0,0,,,0,,1,,
dlg_chengnv_01,npc_cunmin_chengnv,1,,哎呀、这位小道友是打哪儿来的呀？衣裳都沾了泥。,立绘/成女村民,,从山外来的,不打紧,,2,3,0,,,0,,1,,
dlg_chengnv_02,npc_cunmin_chengnv,2,,那也得洗洗。井水在村东、用木桶打就是。,立绘/成女村民,,多谢指路,知道了,,0,0,0,,,0,,1,,
dlg_chengnv_03,npc_cunmin_chengnv,3,,我家那口子在镇上做工、半月才回一趟。这村里啊、就数我最闲不住。,立绘/成女村民,,那你忙,告辞,,0,0,0,,,0,,1,,
